product_id,product_name,inspector_notes,return_reason,classification
97,Patagonia Torrentshell 3L Raincoat,Potential refurbish situation. Extreme weather damage.,Extreme weather damage,refurbish
95,Patagonia Houdini Windbreaker,Potential restock situation. Different style preferred.,Different style preferred,restock
32,Samsung 980 PRO 2TB NVMe SSD,Returned due to: Ordered wrong quantity.,Ordered wrong quantity,restock
74,Patagonia P-6 Logo Trucker Hat,Customer reported: Style doesn't match.,Style doesn't match,restock
10,Apple Watch Series 9 45mm GPS,Unclear if recycle or other. Cracked screen.,Cracked screen,recycle
71,L.L.Bean Fisherman Knit Cardigan,Possible issue: Color not as shown.,Color not as shown,restock
17,ASUS AX6000 WiFi 6 Router,Observed: Permanent staining.,Permanent staining,recycle
71,L.L.Bean Fisherman Knit Cardigan,Potential refurbish situation. Cosmetic imperfection.,Cosmetic imperfection,refurbish
2,Apple iPhone 15 Pro Silicone Case,Further testing needed: Material feel different.,Material feel different,recycle
54,Champion Powerblend Fleece Hoodie,Returned due to: Obvious repair needed.,Obvious repair needed,refurbish
59,Patagonia Better Sweater Fleece Jacket,Returned due to: Gift return.,Gift return,restock
4,Rain Design mStand Laptop Stand,May require restock. Heavy wear.,Heavy wear,restock
50,Amazon Kindle Paperwhite 11th Gen E-Reader,Possible issue: Significant fading.,Significant fading,refurbish
75,The North Face Etip Recycled Gloves,Inspected: Duplicate order. Needs further review.,Duplicate order,restock
94,Lululemon Energy Bra High Support Sports Bra,Assessment: Ordered wrong quantity.,Ordered wrong quantity,restock
84,Patagonia Black Hole 25L Backpack,Customer notes: Ordered wrong quantity.,Ordered wrong quantity,restock
79,Patagonia Baggies Swim Shorts,Further testing needed: Motor failure.,Motor failure,refurbish
57,Dockers Alpha Khaki Slim Tapered Pants,Notes: Received as gift.,Received as gift,refurbish
43,CyberPower CP1500PFCLCD UPS Battery,Assessment: Small fabric pull.,Small fabric pull,refurbish
30,Razer BlackWidow V4 Gaming Keyboard,Possible restock case. Product arrived late.,Product arrived late,restock
46,Ring Video Doorbell Pro 2 Smart Doorbell,Possible refurbish case. family member disapproval (customer unclear).,family member disapproval (customer unclear),refurbish
93,Alo Yoga 7/8 High-Waist Leggings,Further testing needed: Minor dent.,Minor dent,refurbish
3,Anker PowerLine III USB-C Cable,Uncertain: Major structural damage.,Major structural damage,recycle
59,Patagonia Better Sweater Fleece Jacket,Possible issue: box opened but item unused.,box opened but item unused,refurbish
48,August Wi-Fi Smart Lock Pro,Observed: Loose thread.,Loose thread,refurbish
28,DJI Mini 3 Pro Drone,Notes: No longer needed.,No longer needed,refurbish
67,Reformation Silk Midi Dress,Flagged: Severe corrosion.,Severe corrosion,recycle
80,Lululemon Swiftly Tech Long Sleeve Workout Top,Initial check: Seasonal preference change.,Seasonal preference change,restock
5,Logitech MX Master 3S Wireless Mouse,See attached: Small hole.,Small hole,refurbish
50,Amazon Kindle Paperwhite 11th Gen E-Reader,Observed: No longer needed.,No longer needed,restock
13,Logitech C920s HD Pro Webcam,Observed: Family member disapproval (customer unclear).,Family member disapproval (customer unclear),restock
81,Hugo Boss Huge6/Genius5 Slim Fit Suit,Flagged: Small tear.,Small tear,refurbish
82,Hermès H-pattern Silk Tie,Further testing needed: no longer needed.,no longer needed,restock
91,Tom Ford Oud Wood Cologne,Unclear if restock or other. Style doesn't match.,Style doesn't match,restock
79,Patagonia Baggies Swim Shorts,Potential refurbish situation. Heavy wear (customer unclear).,Heavy wear (customer unclear),refurbish
96,Moncler Genius Down Puffer Jacket,Assessment: Duplicate order.,Duplicate order,recycle
33,NVIDIA GeForce RTX 4080 Graphics Card,Customer reported: Fit not as expected.,Fit not as expected,restock
93,Alo Yoga 7/8 High-Waist Leggings,Reported: Small puncture.,Small puncture,restock
36,Fractal Design Define 7 PC Case,Potential restock situation. small fabric pull.,small fabric pull,restock
49,Fitbit Charge 5 Advanced Fitness Tracker,Visual inspection: Changed mind.,Changed mind,restock
72,Canada Goose Expedition Parka Coat,Visual inspection: Light usage wear.,Light usage wear,refurbish
14,Blue Yeti USB Microphone,Uncertain: Major malfunction.,Major malfunction,recycle
62,Champion Powerblend Fleece Sweatpants,See attached: Major structural damage (customer unclear).,Major structural damage (customer unclear),recycle
27,Ring Stick Up Cam Battery Security Camera,Initial check: Heavy wear.,Heavy wear,refurbish
93,Alo Yoga 7/8 High-Waist Leggings,Potential restock situation. Style doesn't match.,Style doesn't match,restock
95,Patagonia Houdini Windbreaker,Unclear if recycle or other. manufacturing defect.,manufacturing defect,recycle
64,J.Crew Ludlow Slim-Fit Suit Blazer,Customer reported: Cosmetic imperfection.,Cosmetic imperfection,refurbish
92,Lululemon Align High-Rise Pant Activewear,Possible recycle case. Electrical short circuit.,Electrical short circuit,recycle
7,Anker PowerPort III 65W Phone Charger,May require restock. Different style preferred.,Different style preferred,restock
72,Canada Goose Expedition Parka Coat,Possible overlap with other categories. Occasion cancelled.,Occasion cancelled,restock
50,Amazon Kindle Paperwhite 11th Gen E-Reader,Possible recycle case. Overheating damage.,Overheating damage,recycle
20,Amazon Basics RJ45 Cat-6 Ethernet Cable,Possible overlap with other categories. Ordered wrong quantity.,Ordered wrong quantity,restock
64,J.Crew Ludlow Slim-Fit Suit Blazer,Customer reported: Chemical damage.,Chemical damage,recycle
59,Patagonia Better Sweater Fleece Jacket,May require recycle. Noticeable dent.,Noticeable dent,recycle
79,Patagonia Baggies Swim Shorts,Customer notes: Size chart was incorrect.,Size chart was incorrect,refurbish
67,Reformation Silk Midi Dress,Possible overlap with other categories. Product arrived late.,Product arrived late,recycle
100,Christian Louboutin So Kate 120mm High Heels,Potential refurbish situation. Noticeable dent.,Noticeable dent,refurbish
95,Patagonia Houdini Windbreaker,Customer notes: Extreme weather damage.,Extreme weather damage,recycle
15,VIVO Dual Monitor Stand,Potential refurbish situation. Minor button issue.,Minor button issue,refurbish
95,Patagonia Houdini Windbreaker,Potential restock situation. better price found.,better price found,restock
97,Patagonia Torrentshell 3L Raincoat,May require recycle. Major malfunction.,Major malfunction,recycle
50,Amazon Kindle Paperwhite 11th Gen E-Reader,Possible overlap with other categories. Size chart was incorrect.,Size chart was incorrect,restock
